Date: 2017.05.09
Start: 17:25:12
Nr.	Time		CH0	CH1	CH2	Status
00	18:56:12	114.5 C	114.1 C	114.0 C	Sterile
01	18:57:12	114.8 C	114.5 C	114.2 C	Sterile
02	18:58:12	115.2 C	114.8 C	114.5 C	Sterile
03	18:59:12	115.5 C	115.1 C	114.8 C	Sterile
04	19:00:12	115.8 C	115.3 C	115.2 C	Sterile
05	19:01:12	116.1 C	115.6 C	115.5 C	Sterile
06	19:02:12	116.3 C	116.0 C	115.8 C	Sterile
07	19:03:12	116.6 C	116.3 C	116.1 C	Sterile
08	19:04:12	116.8 C	116.7 C	116.4 C	Sterile
09	19:05:12	117.1 C	116.8 C	116.6 C	Sterile
10	19:06:12	117.3 C	117.0 C	116.7 C	Sterile
11	19:07:12	117.4 C	117.1 C	116.8 C	Sterile
12	19:08:12	117.4 C	117.2 C	117.0 C	Sterile
13	19:09:12	117.5 C	117.3 C	117.0 C	Sterile
14	19:10:12	117.5 C	117.4 C	117.1 C	Sterile
15	19:11:12	117.6 C	117.4 C	117.2 C	Sterile
16	19:12:12	117.6 C	117.4 C	117.2 C	Sterile
17	19:13:12	117.6 C	117.4 C	117.2 C	Sterile
18	19:14:12	117.5 C	117.4 C	117.2 C	Sterile
19	19:15:12	117.5 C	117.3 C	117.1 C	Sterile
20	19:16:12	117.5 C	117.2 C	117.0 C	Sterile
21	19:17:12	117.4 C	117.1 C	117.0 C	Sterile
22	19:18:12	117.3 C	117.0 C	116.9 C	Sterile
23	19:19:12	117.2 C	116.9 C	116.9 C	Sterile
24	19:20:12	117.1 C	116.8 C	116.7 C	Sterile
25	19:21:12	117.0 C	116.7 C	116.6 C	Sterile
26	19:22:12	116.9 C	116.6 C	116.5 C	Sterile
27	19:23:12	116.8 C	116.5 C	116.4 C	Sterile
28	19:24:12	116.7 C	116.3 C	116.2 C	Sterile
29	19:25:12	116.5 C	116.2 C	116.1 C	Sterile
30	19:26:12	116.3 C	116.0 C	116.0 C	Sterile
31	19:27:12	116.2 C	115.9 C	115.8 C	Sterile
32	19:28:12	116.1 C	115.7 C	115.6 C	Sterile
33	19:29:12	115.9 C	115.5 C	115.5 C	Sterile
34	19:30:12	115.7 C	115.3 C	115.3 C	Sterile
35	19:31:12	115.6 C	115.2 C	115.2 C	Sterile
36	19:32:12	115.5 C	115.1 C	115.2 C	Sterile
37	19:33:12	115.4 C	115.1 C	115.2 C	Sterile
38	19:34:12	115.4 C	115.2 C	115.4 C	Sterile
39	19:35:12	115.5 C	115.3 C	115.6 C	Sterile
40	19:36:12	115.6 C	115.4 C	115.7 C	Sterile
41	19:37:12	115.8 C	115.5 C	115.8 C	Sterile
42	19:38:12	116.0 C	115.7 C	115.9 C	Sterile
43	19:39:12	116.2 C	116.0 C	116.2 C	Sterile
44	19:40:12	116.3 C	116.2 C	116.3 C	Sterile
45	19:41:12	116.4 C	116.4 C	116.5 C	Sterile
46	19:42:12	116.5 C	116.6 C	116.5 C	Sterile
47	19:43:12	116.6 C	116.7 C	116.7 C	Sterile
48	19:44:12	116.6 C	116.8 C	116.7 C	Sterile
49	19:45:12	116.6 C	116.8 C	116.7 C	Sterile
50	19:46:12	116.6 C	116.8 C	116.7 C	Sterile
51	19:47:12	116.6 C	116.8 C	116.7 C	Sterile
52	19:48:12	116.6 C	116.7 C	116.7 C	Sterile
53	19:49:12	116.5 C	116.7 C	116.6 C	Sterile
54	19:50:12	116.5 C	116.6 C	116.5 C	Sterile
55	19:51:12	116.5 C	116.5 C	116.3 C	Sterile
56	19:52:12	116.4 C	116.4 C	116.2 C	Sterile
57	19:53:12	116.3 C	116.3 C	116.1 C	Sterile
58	19:54:12	116.2 C	116.1 C	116.0 C	Sterile
59	19:55:12	116.2 C	116.0 C	115.9 C	Sterile
60	19:56:12	116.0 C	115.8 C	115.8 C	Sterile
End: 19:56:12
Result: SUCCESS
